t,x,y,psi
0.000,0.000000,0.000000,-1.082269139
0.100,0.433418,-0.829328,-1.082269139
0.200,0.866836,-1.658557,-1.082219361
0.300,1.300254,-2.487785,-1.082219298
0.400,1.733672,-3.317013,-1.082219230
0.500,2.167090,-4.146242,-1.082219156
0.600,2.600508,-4.975470,-1.082219086
0.700,3.033926,-5.804798,-1.082268714
0.800,3.467344,-6.634027,-1.082218942
0.900,3.900762,-7.463255,-1.082218873
1.000,4.326775,-8.071436,-0.952507002
1.100,4.752701,-8.679617,-0.952602091
1.200,5.178713,-9.287797,-0.952506870
1.300,5.680937,-9.811484,-0.798920847
1.400,6.183075,-10.335270,-0.799101979
1.500,6.685213,-10.858956,-0.799006381
1.600,7.251421,-11.285534,-0.638371427
1.700,7.817542,-11.712011,-0.638331709
1.800,8.383664,-12.138589,-0.638444288
1.900,8.999991,-12.457546,-0.470622554
2.000,9.616318,-12.776503,-0.470622485
2.100,10.232644,-13.095460,-0.470622425
2.200,10.884192,-13.299088,-0.296588865
2.300,11.535654,-13.502716,-0.296626279
2.400,12.187202,-13.706344,-0.296588737
2.500,12.857954,-13.789637,-0.118030179
2.600,13.528792,-13.872930,-0.118014485
2.700,14.199630,-13.956324,-0.118160690
2.800,14.873481,-13.917280,0.062499243
2.900,15.547247,-13.878236,0.062506660
3.000,16.221013,-13.839293,0.062359365
3.100,16.881431,-13.678913,0.242005007
3.200,17.541848,-13.518534,0.242005063
3.300,18.202180,-13.358154,0.242034904
3.400,18.833060,-13.080243,0.418014107
3.500,19.463941,-12.802432,0.417881719
3.600,20.094821,-12.524521,0.418014240
3.700,20.840579,-12.130480,0.488948121
3.800,21.586251,-11.736338,0.489100415
3.900,22.331923,-11.342297,0.488995858
4.000,23.077681,-10.948156,0.489053014
4.100,23.823353,-10.554115,0.488996020
4.200,24.569111,-10.159974,0.489053184
4.300,25.314783,-9.765933,0.488996191
4.400,26.060455,-9.371791,0.489100932
4.500,26.806213,-8.977750,0.488948796
4.600,27.551885,-8.583609,0.489101095
4.700,28.297643,-8.189568,0.488948972
4.800,29.043315,-7.795427,0.489101266
4.900,29.788987,-7.401386,0.488996706
5.000,30.534745,-7.007244,0.489053859
5.100,31.280417,-6.613203,0.488996872
5.200,32.026175,-6.219062,0.489054040
5.300,32.771847,-5.825021,0.488997040
5.400,33.517519,-5.430880,0.489101783
5.500,34.263277,-5.036839,0.488949646
5.600,35.008949,-4.642697,0.489101952
