t,x,y,psi
1.600,226.716782,-1.642102,-0.000197520
1.700,227.453778,-1.551547,0.129514351
1.800,228.190734,-1.461068,0.129419262
1.900,228.927730,-1.370513,0.129514483
2.000,229.625910,-1.172997,0.283100506
2.100,230.324137,-0.975604,0.282919373
2.200,231.022276,-0.778164,0.283014971
2.300,231.664761,-0.478561,0.443649926
2.400,232.307116,-0.178986,0.443689644
2.500,232.949559,0.120541,0.443577065
2.600,233.520557,0.514927,0.611398799
2.700,234.091555,0.909313,0.611398868
2.800,234.662553,1.303699,0.611398928
2.900,235.148263,1.783334,0.785432488
3.000,235.633933,2.262893,0.785395074
3.100,236.119643,2.742527,0.785432616
3.200,236.508126,3.295619,0.963991174
3.300,236.896649,3.848787,0.964006868
3.400,237.285260,4.401908,0.963860662
3.500,237.567186,5.015180,1.144520596
3.600,237.849071,5.628375,1.144528012
3.700,238.131045,6.241524,1.144380718
3.800,238.299534,6.899908,1.324026360
3.900,238.468024,7.558291,1.324026416
4.000,238.636473,8.216599,1.324056257
4.100,238.687324,8.904090,1.500035460
4.200,238.738264,9.591535,1.499903072
4.300,238.789115,10.279026,1.500035593
4.400,238.791373,11.122470,1.570969474
4.500,238.793502,11.965886,1.571121767
4.600,238.795720,12.809254,1.571017210
4.700,238.797889,13.652745,1.571074366
4.800,238.800107,14.496114,1.571017373
4.900,238.802277,15.339605,1.571074536
5.000,238.804494,16.182973,1.571017544
5.100,238.806623,17.026389,1.571122285
5.200,238.808881,17.869833,1.570970149
5.300,238.811011,18.713248,1.571122448
5.400,238.813269,19.556693,1.570970324
5.500,238.815398,20.400108,1.571122619
5.600,238.817616,21.243476,1.571018059
5.700,238.819785,22.086968,1.571075212
5.800,238.822003,22.930336,1.571018225
5.900,238.824173,23.773827,1.571075393
6.000,238.826390,24.617196,1.571018393
6.100,238.828520,25.460611,1.571123136
6.200,238.830778,26.304055,1.570970999
6.300,238.832907,27.147471,1.571123305
6.400,238.832940,27.147463,1.571051434
6.500,238.919882,60.608016,1.571051434
6.600,238.919891,60.607975,1.571031625
6.700,238.922101,61.451543,1.571031625
6.800,238.924223,62.295157,1.571136330
6.900,238.926433,63.138725,1.571031787
7.000,238.928643,63.982292,1.571031882
7.100,238.930853,64.825859,1.571031960
7.200,238.933063,65.669427,1.571032050
7.300,238.933664,65.909139,1.571146951
7.400,238.923545,66.678992,1.586751874
7.500,238.913378,67.448969,1.586811958
7.600,238.903259,68.218823,1.586752022
7.700,238.746030,68.997760,1.772438619
7.800,238.588889,69.776650,1.772341459
7.900,238.431749,70.555541,1.772341555
8.000,238.132281,71.314345,1.949138744
8.100,237.832902,72.073101,1.949059127
8.200,237.533393,72.831829,1.949219299
8.300,237.095209,73.554093,2.118834170
8.400,236.656983,74.276282,2.118922053
8.500,236.218669,74.998518,2.118982844
8.600,235.671616,75.642718,2.278025267
8.700,235.124521,76.286842,2.278120352
8.800,234.577379,76.931089,2.278069247
8.900,233.921368,77.497272,2.433395525
9.000,233.265357,78.063455,2.433395574
9.100,232.609346,78.629638,2.433395597
9.200,231.869872,79.094102,2.585323416
9.300,231.130397,79.558566,2.585323440
9.400,230.391011,80.022983,2.585315146
9.500,229.590519,80.371645,2.736115686
9.600,228.790115,80.720261,2.736124653
9.700,227.989670,81.068800,2.736223471
9.800,227.152465,81.291076,2.888104213
9.900,226.315259,81.513352,2.888104190
10.000,225.478102,81.735505,2.888227789
10.100,224.638949,81.823634,3.043606435
10.200,223.799797,81.911763,3.043606370
10.300,222.960644,81.999893,3.043606323
10.400,222.523773,82.003120,3.141170236
10.500,221.638675,82.009762,3.141054601
10.600,220.753667,82.016356,3.141107036
10.700,219.868570,82.022997,3.141054468
10.800,218.983561,82.029591,3.141106909
10.900,218.098504,82.036309,3.140967850
11.000,217.213407,82.042950,3.141054266
11.100,217.213444,82.042913,3.141065420
11.200,212.160378,82.080771,3.141065420
11.300,42.529598,83.249522,-3.141522763
11.400,2.565322,83.584865,3.140149295
